,movieID,num_ratings
3673,3966,42224
2162,16406,42117
6185,1267,42114
7209,5561,42101
7000,1659,42047
5325,15063,41969
4837,4633,41851
1533,10429,41781
1709,4931,41680
2106,9863,41665
2519,5069,41596
1825,10212,41545
7321,8333,41486
5889,2009,41438
2438,14364,41402
6879,1466,41356
2071,11745,41347
5348,12056,41167
3589,12473,41062
3799,4402,41029
4919,1571,40842
268,13534,40777
6521,3936,40768
515,1046,40745
2323,16605,40725
5916,8295,40705
732,16499,40462
4942,12280,40412
4240,15339,40365
4357,16552,40296
7609,9170,40252
758,3730,40192
2297,8413,39984
5342,334,39876
6605,8334,39765
7427,12828,39689
1799,15381,39428
495,13318,39216
963,17621,39003
1705,7586,38779
3583,705,38681
1715,8851,38629
2253,12675,38616
7523,6445,38614
6049,13273,38519
4598,3798,38515
203,16465,38403
4793,12092,38393
7097,16912,38387
7112,143,38363
6029,4914,38290
3842,9481,38280
1508,12799,38226
7521,11139,38199
4373,16236,38138
4221,17506,38116
73,2000,38057
4520,12497,37922
6810,10379,37897
2489,13384,37885
6952,10027,37881
2191,12890,37826
7108,10344,37820
3113,16825,37794
1128,17580,37409
809,8301,37368
1236,6117,37362
6913,963,37311
3929,8989,37268
6789,2594,37067
577,12238,37016
6804,11701,36992
6785,6902,36856
1280,11696,36825
2779,13959,36791
263,9593,36776
7064,5601,36601
6219,5997,36527
2709,8809,36520
3914,443,36516
2257,6166,36491
4120,15853,36485
72,16075,36343
4839,3148,36264
7219,9415,36239
1450,9378,36238
5415,6235,36055
2220,2499,36031
2784,13795,36022
6483,8651,35956
4328,15715,35874
5024,13217,35853
4408,4829,35847
7207,8045,35751
5665,13981,35748
5527,7249,35695
5917,2960,35687
475,16262,35663
2189,5320,35644
7447,6874,35539
5129,1174,35538
606,199,35510
4260,8585,35506
2826,3579,35458
5285,4805,35417
1795,11859,35368
3857,4833,35350
2537,5055,35336
2065,5056,35184
5130,9528,35110
3982,4369,35096
4132,4977,35089
6436,1305,35027
19,6716,34998
5519,2457,34899
2429,16201,34847
2,6702,34811
1360,15209,34798
3834,11999,34619
3845,15902,34485
2540,16997,34421
1378,11047,34305
5390,11013,34206
4448,16008,34200
1667,5434,34080
7545,13074,34014
2930,17134,33921
6531,5360,33907
2462,12071,33901
6333,15953,33824
7453,550,33798
3278,12471,33792
4710,16169,33758
2396,17692,33753
636,4506,33732
3416,4159,33724
4205,16181,33659
6199,8531,33600
4928,7882,33519
5612,5477,33402
4243,10241,33383
6274,4135,33355
1461,14459,33305
6986,4906,33228
1070,4488,33176
4276,11771,33098
4326,11573,33057
3001,15531,32982
1505,13493,32972
5601,9265,32961
6656,3315,32867
7569,1289,32833
5702,692,32829
2122,17526,32782
4127,1832,32770
90,15540,32697
778,8881,32686
5035,17703,32677
4904,16596,32667
812,15436,32660
312,12399,32645
2051,16016,32547
7172,10152,32534
1722,15815,32509
1847,15342,32490
1952,6060,32480
6815,12546,32384
267,5430,32367
1964,7356,32362
2223,4956,32345
5828,11277,32310
2046,14601,32246
6794,5589,32219
7485,17762,32111
52,3875,32098
6340,13488,32046
7085,13856,32032
2643,273,32028
190,16698,31936
7505,2192,31934
683,12172,31926
5215,13809,31860
1054,14664,31854
1562,9144,31744
4011,872,31692
4564,14233,31672
3083,7055,31611
5754,8966,31594
308,789,31538
6261,6050,31535
1768,10986,31463
6440,5836,31433
5270,3824,31414
2488,3197,31409
331,15421,31390
6509,4080,31373
2808,14039,31148
71,6266,31133
5710,2734,31059
1574,14698,31005
832,12365,30974
2839,4389,30959
7100,6240,30832
1898,15578,30807
5501,15671,30800
3144,14203,30594
3021,896,30594
4945,4384,30581
2967,13342,30547
6040,12838,30436
5942,11673,30418
5375,3198,30336
4056,17513,30278
4878,2252,30246
6748,13466,30196
4160,3017,30114
3884,15057,30071
1396,8099,30047
2475,3626,29944
998,413,29910
5400,6221,29905
6006,6119,29821
5308,3165,29763
1286,5191,29722
7670,15997,29621
7478,17004,29560
3798,4364,29538
420,2001,29489
615,7184,29451
6230,8928,29393
2350,17321,29373
1110,8339,29357
783,2360,29226
1345,11090,29172
374,17381,29115
322,14918,29105
3733,17293,29047
4537,2690,28956
5086,295,28955
1325,13056,28951
1477,12014,28930
7118,12221,28896
156,3256,28858
1190,3085,28802
4634,15110,28770
6045,12186,28760
2525,5727,28680
22,5237,28641
232,12818,28578
7615,13128,28573
2400,3817,28558
58,10835,28545
4085,8619,28512
2742,528,28455
1192,4932,28449
3869,14407,28412
7336,11886,28396
5189,15465,28390
6343,4862,28371
7224,2554,28347
5150,13955,28301
4630,12694,28261
2797,14978,28240
5570,2495,28080
3976,4341,28077
586,8512,27978
5107,15129,27917
3126,9508,27896
210,16303,27773
5225,6223,27761
4029,11638,27693
6226,1918,27668
2778,15496,27662
2454,15078,27649
152,14702,27480
6719,1700,27450
417,2015,27446
3850,5287,27399
6061,13501,27363
5041,257,27358
2197,10739,27309
7001,16325,27260
5061,9298,27257
1933,7381,27169
1701,15182,27166
4266,13827,27150
6367,3466,27141
5545,2443,27141
1549,12570,27102
4361,330,27039
1889,10372,27011
2479,11544,27011
7661,3893,26962
3108,11186,26946
3518,12513,26928
892,2016,26927
6918,17589,26900
3429,13433,26775
5921,13058,26742
4256,720,26719
6903,10231,26663
2295,5137,26632
7536,6337,26621
1756,13519,26603
7304,13840,26600
6616,7991,26587
3684,12843,26554
6529,17002,26543
765,11446,26533
7539,4520,26501
6836,9614,26488
5115,5448,26474
7136,6268,26458
3756,2675,26445
3540,6599,26238
6438,3274,26225
3502,15532,26209
1244,14507,26203
6228,6911,26188
3080,16158,26168
4395,3161,26155
5603,10734,26117
337,11647,26094
390,17424,26062
734,1682,25962
944,9433,25906
3182,8818,25874
3768,14759,25858
4255,14755,25816
4810,15064,25808
4688,11612,25798
1489,14317,25728
1710,1861,25713
5167,16150,25677
1679,6673,25636
2474,4149,25582
4042,13007,25569
6392,11658,25536
749,4739,25466
7506,10596,25404
6553,6133,25386
5573,6195,25353
4004,10491,25344
3527,17319,25299
4346,442,25293
7278,14646,25266
2497,7483,25248
4161,4778,25248
1426,4660,25233
7052,10230,25185
1097,11132,25185
568,9156,25182
6788,15956,25155
6983,6687,25116
4914,5071,25112
2836,851,25101
4643,15662,25038
4452,14192,25012
164,11134,25000
6266,6736,24894
3958,13629,24890
4695,1367,24881
6252,4109,24853
954,14476,24841
2437,311,24836
2446,10114,24832
5924,15429,24806
4996,7048,24778
1870,14855,24737
3626,17053,24736
4261,16977,24716
7610,6243,24660
6870,1314,24606
5289,5528,24509
2511,14602,24507
4450,12508,24478
289,17008,24429
2785,6398,24421
2861,7643,24411
7086,3489,24408
3399,10886,24394
1853,17541,24390
4855,15712,24390
4558,252,24388
6688,14480,24226
1517,6908,24191
7533,746,24128
2663,13555,24003
2592,15440,23998
2443,16203,23979
7157,10620,23974
6189,4479,23885
4488,15449,23878
437,9381,23773
402,7145,23765
1954,12015,23731
4637,13207,23729
1544,11051,23720
946,10162,23712
3731,937,23692
5673,13771,23621
4166,7517,23615
3456,473,23603
6823,6255,23567
4454,6596,23486
3066,5656,23343
2076,3355,23330
7613,10421,23299
4254,4546,23271
2073,5730,23258
3271,6362,23191
7351,9788,23175
5317,3617,23175
2414,10894,23166
7092,5946,23164
7234,8086,23131
6092,9940,23085
5869,9160,23063
3013,5050,22980
3503,3350,22915
3249,11805,22910
1186,7208,22907
6414,9003,22891
1081,3522,22852
3251,2851,22820
4245,6437,22804
3764,8370,22800
1157,1645,22794
409,12560,22752
6077,6642,22748
5351,10899,22720
6450,13098,22689
7400,12633,22660
3645,4761,22626
24,11242,22565
7011,8669,22530
6898,2153,22448
5473,2866,22416
769,13251,22370
6969,12195,22360
3065,2139,22333
3045,10461,22295
6233,4874,22227
3017,16992,22212
4592,3015,22199
1520,148,22195
4347,10889,22174
4439,17302,22171
385,13865,22130
5224,9110,22120
6568,1890,22099
1306,9032,22092
3793,16760,22088
3567,17537,22068
6723,6721,22035
6222,9613,22010
2952,10673,22002
5936,7987,21941
2672,7534,21929
650,10229,21927
6139,11882,21894
1677,16306,21892
2342,14827,21874
4247,10255,21868
6109,15366,21866
3875,5522,21862
1208,15816,21845
6418,13073,21839
3668,8826,21788
7460,14531,21751
4144,8803,21740
3944,15099,21684
198,15385,21679
181,2809,21636
6654,7173,21627
5026,11400,21592
754,17023,21586
3284,15450,21568
4103,15674,21538
5614,269,21468
704,10981,21426
6218,14642,21377
3785,1585,21360
4788,12904,21347
6368,13675,21342
5359,14355,21321
1116,9741,21305
4383,9458,21293
7038,962,21285
723,4089,21258
7515,8483,21228
7372,13511,21200
5875,16068,21064
1875,16930,21060
7403,3058,21002
7229,4870,21000
743,15813,20973
2572,14776,20911
5946,15373,20873
2916,6978,20847
628,4260,20846
2405,11234,20837
6997,3728,20836
7168,3890,20808
2052,660,20802
5978,1138,20759
808,17221,20752
2502,6574,20752
5143,17299,20743
5526,4740,20723
2829,4570,20704
6514,9598,20695
751,2348,20681
4510,11613,20656
6744,3113,20650
242,2389,20630
1243,2371,20597
7627,7613,20570
4633,11376,20544
1015,1902,20488
4803,14391,20485
6272,353,20461
1023,15234,20446
2775,17281,20410
4785,8784,20410
5180,11171,20408
7312,17207,20373
4602,11388,20354
1588,11904,20338
6472,14250,20330
345,7757,20309
262,3900,20282
6288,3894,20252
3704,12102,20223
785,9235,20215
6938,3715,20209
5637,14963,20192
2176,516,20182
451,16538,20170
4697,7716,20162
5604,15894,20161
424,4841,20145
1818,9757,20128
6095,13930,20120
5745,3364,20096
1703,5391,20080
34,5545,20078
3238,8171,20066
6739,14457,20060
2328,9043,20059
5906,187,20050
939,1709,20037
6093,9798,20020
7253,7160,20014
4729,5897,20012
7084,2783,20011
6081,9565,19982
2404,1027,19961
7244,15955,19879
7238,3689,19868
6303,3670,19800
6802,7163,19780
3496,11032,19761
1739,2400,19755
5668,11166,19751
3966,10446,19690
2900,9120,19670
5597,2456,19621
5181,7713,19600
438,10808,19587
7574,2780,19580
381,831,19564
48,10809,19558
1535,17346,19531
1976,13451,19491
2970,14439,19466
3324,9125,19460
4502,9048,19432
1863,11911,19431
4275,5704,19422
5109,1148,19402
2105,7696,19395
7455,4736,19378
6263,3128,19364
4920,12243,19360
5708,862,19352
2238,8177,19336
6307,6708,19304
4907,3414,19275
3973,6556,19262
4025,5895,19247
4436,118,19241
1042,2012,19238
6538,7563,19159
1673,12160,19158
1981,14403,19149
748,15807,19144
202,8883,19132
649,7755,19105
3739,13787,19092
6493,1661,19086
1974,8717,19074
4024,2136,19062
6854,10392,19052
6671,12224,19047
5241,108,19019
1763,7544,19002
4143,6190,18993
703,9208,18970
2198,11427,18963
6411,14734,18906
2466,5243,18906
4198,10282,18883
6820,17358,18802
6637,7826,18778
3723,10729,18772
5992,10747,18754
5140,83,18725
6183,8525,18709
3223,8603,18707
7121,16047,18686
4264,7852,18614
2299,17533,18598
7544,3267,18570
3927,17671,18567
3027,1578,18543
3945,8976,18526
6929,13512,18481
7352,9950,18477
1809,940,18465
2660,1637,18447
1435,2577,18446
4486,5882,18441
3578,17251,18434
7481,3071,18411
6155,10236,18395
7063,989,18299
4806,8753,18287
6387,14873,18276
3826,8204,18259
2431,14402,18240
2240,17057,18200
5626,11199,18190
2590,3222,18183
3287,1425,18127
4707,8357,18110
6745,5562,18041
2761,9242,17987
1174,6670,17974
5830,3840,17960
3811,5708,17923
3303,16788,17922
1421,14467,17898
5124,17064,17870
5927,17558,17869
3420,7336,17817
3876,3153,17786
6876,3265,17780
7617,11717,17761
7527,12430,17758
6824,14889,17713
3407,1035,17697
4876,1983,17692
5179,5104,17662
543,17195,17645
3348,3434,17468
3805,9132,17467
1504,3680,17453
2268,12661,17448
7259,3312,17433
2803,58,17406
4535,2848,17402
2603,5121,17336
678,6661,17307
725,13293,17289
4483,9074,17258
7287,13883,17255
5580,12862,17233
3064,15445,17206
7205,6068,17161
3651,11378,17124
1904,7632,17113
2101,1595,17112
3873,9330,17108
1961,5227,17105
6615,16644,17046
177,11875,17045
1761,8677,17035
3381,4171,16891
5328,8754,16891
4410,4801,16873
1083,16891,16840
3788,14822,16830
2811,11141,16824
2589,3544,16815
6118,5607,16812
6374,7600,16796
207,2376,16772
1416,16516,16763
3230,3742,16724
5802,10627,16712
5863,14131,16703
3917,2254,16695
5899,14858,16692
2327,10274,16686
6931,15163,16665
3543,5084,16636
618,2163,16636
4770,14144,16629
5265,13389,16614
7178,7406,16607
5408,7895,16557
1996,13378,16554
395,5020,16475
7353,4284,16471
5365,10872,16464
5567,15843,16439
4741,16784,16420
897,9625,16393
1090,5621,16377
4541,14970,16364
6724,10143,16338
5002,8384,16331
7255,11702,16301
6019,3920,16294
7630,7607,16224
3025,3347,16200
1273,11325,16199
3887,5250,16178
5827,9438,16173
2796,5875,16132
273,7555,16114
4597,10082,16098
6814,2755,16094
14,12763,16026
186,1482,15993
1917,3326,15967
1635,5187,15951
1039,5033,15942
4386,2519,15916
2541,7642,15912
2581,10276,15893
5920,14737,15886
5133,13216,15877
4684,5854,15873
1527,15545,15860
5231,4420,15836
6982,8872,15807
386,819,15787
6430,4269,15770
1664,7545,15740
584,17426,15715
7561,16118,15706
682,9234,15705
3530,2072,15703
1949,17179,15672
6184,6508,15650
6359,17361,15642
1331,5967,15638
4388,17672,15532
311,13087,15525
2179,2329,15433
2993,4831,15412
4599,3954,15404
76,3478,15393
4875,8019,15382
5720,14624,15382
4935,2905,15361
2630,9900,15247
1947,2212,15235
1079,11907,15219
3122,14968,15217
2652,501,15180
1796,3285,15175
1231,10013,15175
2671,11356,15169
1454,15037,15132
4442,4418,15120
4033,10240,15118
4288,6219,15090
5395,11775,15082
3373,10662,15071
1926,13486,15058
1848,5151,14996
5803,4652,14967
7663,8078,14942
4751,5075,14905
2975,11227,14905
4676,4586,14889
3923,15700,14889
1987,16572,14884
4965,7706,14875
1362,10371,14871
7404,551,14823
3061,9681,14817
4718,6352,14750
4013,8584,14718
5677,12309,14706
3932,11214,14681
1290,2173,14676
2823,16606,14675
817,15422,14673
5701,686,14670
6332,4686,14662
2638,8149,14652
4693,3216,14627
4043,5665,14621
2188,13542,14620
3588,14016,14616
6834,16052,14589
4926,11038,14555
6979,6693,14534
4690,15474,14530
7258,13115,14524
1572,1295,14501
1339,11084,14417
3904,4157,14402
118,818,14385
7548,17574,14344
5247,8232,14325
6217,10424,14308
326,9785,14289
6657,8526,14281
6205,14118,14258
4212,1370,14253
2838,2920,14241
5144,5845,14226
2804,3551,14208
4938,11789,14201
6554,1884,14158
1341,189,14138
7665,424,14121
5832,4849,14108
4900,12096,14094
6987,4912,14079
3441,15730,14046
4716,723,14039
1040,9621,14034
4601,285,14009
7376,8131,14006
2066,7899,13967
3300,7875,13925
4148,12668,13917
1117,5190,13897
7624,5004,13894
6796,6080,13882
480,4100,13875
7496,16859,13829
7690,7363,13813
4798,13398,13798
603,14852,13791
890,615,13789
4468,9841,13755
7230,3879,13750
2704,10920,13747
127,2955,13746
4885,14342,13746
5854,636,13720
6645,17412,13710
4307,9116,13706
2905,3182,13684
6985,8682,13675
1546,7633,13660
492,6073,13654
6954,14241,13642
4229,11639,13612
3592,77,13599
6293,15748,13542
3018,7647,13540
6675,10433,13526
3864,6771,13516
6963,9204,13502
5529,16344,13495
4379,17100,13491
1927,12940,13483
1865,13860,13479
4283,17472,13472
140,2174,13431
4949,7841,13430
3091,8428,13399
1424,12002,13361
5767,6988,13358
4890,6961,13353
4823,3612,13353
2658,6158,13331
3130,1632,13290
910,17180,13280
5810,7401,13267
3275,8429,13267
1328,994,13254
6873,15361,13216
894,14112,13214
109,11732,13207
561,2771,13206
6971,16495,13177
1462,12028,13173
4420,10337,13155
6526,12191,13153
4804,8960,13152
1447,17152,13140
1620,7009,13126
1193,15181,13079
948,10176,13074
3259,1394,13047
1629,10561,13044
6461,2340,13001
7310,11110,12990
767,8117,12983
3538,16952,12979
1103,4271,12951
6865,12591,12940
1057,9635,12940
7601,2757,12927
3851,17697,12919
2291,5651,12919
7039,2813,12908
3059,9859,12902
3957,4355,12883
2420,5255,12878
1975,7424,12833
4595,4949,12822
2428,305,12821
2903,12931,12819
4765,17303,12808
255,6850,12775
6570,7239,12774
5460,7739,12751
1440,348,12740
2156,9240,12718
6188,8243,12716
3345,15530,12712
5018,1175,12684
7010,2422,12668
4098,4751,12668
6741,8046,12649
1150,12639,12605
3453,11218,12595
662,13091,12569
1960,15034,12566
4532,16183,12559
2242,8163,12554
6505,7589,12528
7290,2965,12503
7457,14525,12490
2948,4612,12454
3608,17292,12443
2973,6983,12443
5014,13798,12431
5280,6960,12427
1224,1693,12426
2219,3787,12425
1774,12149,12411
5659,17259,12407
1726,5390,12364
813,5625,12299
5871,15549,12289
7429,1854,12287
1307,2167,12262
5288,12054,12237
3228,5333,12228
494,14477,12221
4378,8020,12218
4487,2135,12211
6354,14898,12208
880,8507,12188
5433,15473,12186
5794,13413,12139
1234,9542,12137
2264,2314,12114
4933,14815,12079
2833,1408,11995
3746,4210,11956
6128,17565,11953
6,8049,11946
5760,12902,11932
135,763,11918
5237,16742,11918
6287,12741,11910
4382,10109,11900
6690,393,11894
6730,6735,11877
3124,12896,11869
1603,996,11859
5837,10828,11859
746,3903,11854
1937,1096,11848
5976,5809,11836
866,629,11817
824,3526,11811
2310,11630,11807
1380,7631,11797
2685,8808,11787
1465,10159,11780
6337,17188,11739
2956,5518,11717
2653,10712,11703
7279,10420,11694
5169,6343,11668
6813,14137,11666
5485,7922,11651
1589,11910,11644
427,1939,11635
1359,2775,11621
4312,12913,11612
2069,7127,11600
5915,811,11549
4882,16233,11531
814,12359,11527
4291,5710,11516
7634,5010,11504
3174,15875,11496
3392,6014,11492
7286,14134,11478
5071,14593,11465
4912,11004,11463
2734,15657,11462
7470,11307,11461
2425,16567,11456
509,12774,11449
2909,10854,11437
2901,662,11410
3784,843,11402
1748,11468,11381
94,8277,11346
4691,5667,11323
3203,2460,11298
5313,10119,11277
5397,11985,11273
635,3269,11263
505,416,11257
3435,17133,11243
6075,15158,11237
5897,5955,11222
7206,1707,11219
5244,11005,11206
5003,900,11178
1717,15800,11177
351,7019,11176
9,10612,11170
319,16869,11132
4071,8382,11096
4455,859,11077
108,17343,11068
6356,10426,11035
6668,6523,11027
5773,10126,11022
5335,5516,11010
2718,3960,11006
1561,1518,10989
552,3309,10970
2723,9518,10935
613,11080,10933
40,11256,10928
2416,7324,10904
1510,17187,10892
4734,8586,10881
7138,3310,10881
6358,13107,10865
4434,13602,10851
